airline_sentiment,text
1,@VirginAmerica plus you've added commercials to the experience... tacky.
0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
0,@VirginAmerica and it's a really big bad thing about it
0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
1,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
1,"@virginamerica Well, I didn't…but NOW I DO! :-D"
1,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
1,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
1,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
1,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
1,@VirginAmerica Thanks!
0,@VirginAmerica SFO-PDX schedule is still MIA.
1,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
1,I ❤️ flying @VirginAmerica. ☺️👍
1,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
1,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
1,@VirginAmerica I love the hipster innovation. You are a feel good brand.
0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
1,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
1,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
1,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
1,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
1,@VirginAmerica I'm #elevategold for a good reason: you rock!!
1,@VirginAmerica wow this just blew my mind
1,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
1,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
1,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
1,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
1,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
0,@VirginAmerica everything was fine until you lost my bag
0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
1,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
1,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
1,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
0,@VirginAmerica Why is the site down?  When will it be back up?
0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
